standard_id,title,description,category,department,year,status,supersedes,certification_scheme,qco_applicable,qco_reference
IS 1520:1980,"Horizontal Centrifugal Pumps for Clear, Cold, Fresh Water","Specification for single-stage horizontal centrifugal pumps for water supply, booster pumping, cooling water circulation, and clear water transfer.",Mechanical,MED 20 (Pumps),1980,Active,IS 1520:1972,Scheme-I / ISI Mark,True,"Pumps (Quality Control) Order, 2024 - DPIIT"
IS 8034:2018,Submersible Pumpsets - Specification,"Technical requirements for multi-stage borehole submersible electric pump sets for agricultural irrigation, tube wells, municipal groundwater extraction, and rural drinking water schemes.",Mechanical,MED 20 (Pumps),2018,Active,IS 8034:2002,Scheme-I / ISI Mark,True,"Pumps (Quality Control) Order, 2024 - DPIIT"
IS 15683:2018,Portable Fire Extinguishers - Performance and Construction - Specification,"Standard for portable fire extinguishers (ABC dry powder, CO2, foam, and clean agent) used for building fire protection, government offices, hospitals, and educational institutions.",Mechanical,MED 22 (Fire Fighting Operations),2018,Active,"IS 2171, IS 940, IS 2878, IS 10204 (Consolidated into IS 15683)",Scheme-I / ISI Mark,True,"Fire Fighting Equipment (Quality Control) Order, 2023 - DPIIT"
IS 14846:2000,Sluice Valves for Water Works Purposes (50 to 1200 mm Size) - Specification (Gate Valves),"Design, materials, dimensions, and pressure testing of cast iron / ductile iron resilient seated and metal-to-metal sluice gate valves for municipal water supply lines.",Mechanical,MED 03 (Piping & Valves),2000,Active,IS 780:1984 & IS 2906:1984,Scheme-I / ISI Mark,True,"Valves (Quality Control) Order, 2024"
IS 10258:2002,Sterile Hypodermic Syringes for Single Use - Specification,"Specification for sterile single-use disposable plastic hypodermic syringes (1 ml to 50 ml) for public hospital supplies, vaccination programs, and clinical use.",Medical Devices,MHD 12 (Hospital Equipment & Surgical Instruments),2002,Active,IS 10258:1982,Scheme-I / CDSCO Medical License,True,"Medical Devices (Quality Control) Regulations, Ministry of Health / CDSCO"
IS 13422:1992,Sterile Rubber Surgical Gloves - Specification,"Technical requirements, tensile strength before and after aging, freedom from pinholes (AQL), powder limits, and water-extractable protein limits for surgical gloves.",Medical Devices,MHD 12 (Surgical Instruments & Rubber Goods),1992,Active,,Scheme-I / ISI Mark,True,"Medical Rubber Gloves QCO, 2023"
IS 252:2013,"Caustic Soda, Pure and Technical - Specification","Chemical composition, sodium hydroxide purity (>99.5% for pure, >96% for technical), carbonate, chloride, and heavy metals limit for caustic soda flakes and lye.",Chemicals,CHD 01 (Inorganic Chemicals),2013,Active,IS 252:1991,Scheme-I / ISI Mark,True,"Caustic Soda (Quality Control) Order, Department of Chemicals and Petrochemicals (DCPC)"
IS 14543:2016,Packaged Drinking Water (Other than Packaged Natural Mineral Water) - Specification,"Physical, chemical, microbiological limits (absence of E. coli, coliforms, salmonella), total dissolved solids (TDS), pesticide residues limits, and packaging requirements for bottled water.",Food & Agriculture,FAD 14 (Drinks & Drinking Water),2016,Active,IS 14543:2004,Scheme-I / ISI Mark,True,Mandatory Certification under Food Safety and Standards Act & BIS Scheme-I
IS 15884:2010,Alternating Current Direct Connected Static Prepayment Meters for Active Energy,Prepayment electricity meters for public housing and utilities,Electrical,ETD 13,2010,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 15959 (Part 1):2011,"Data Exchange for Electricity Meter Reading, Tariff and Load Control (Companion Standard for Indian Metering)",Interoperability standard for smart discom meters,Electrical,ETD 13,2011,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 900:1992,Code of Practice for Installation and Maintenance of Induction Motors,Installation and safety clearances for industrial motors,Electrical,ETD 15,1992,Active,,Scheme-IV / Code of Practice,False,
IS 1255:1983,Code of Practice for Installation and Maintenance of Power Cables up to and including 33 kV Rating,"Laying, jointing, and trench safety for underground power cables",Electrical,ETD 09,1983,Active,,Scheme-IV / Code of Practice,False,
IS 8130:2013,Conductors for Insulated Electric Cables and Flexible Cords,Stranded copper and aluminium conductors electrical resistance limits,Electrical,ETD 09,2013,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 5831:1984,PVC Insulation and Sheath of Electric Cables,Thermal and elongation properties for cable insulation compounds,Electrical,ETD 09,1984,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3975:1999,"Low Carbon Galvanized Steel Wires, Formed Wires and Tapes for Armouring of Cables",Armour protection for underground cables,Electrical,ETD 09,1999,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 10810 (Part 1 to 65):1984,Methods of Test for Cables,"Mechanical, electrical, fire resistance, and smoke density test methods",Electrical,ETD 09,1984,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 302 (Part 1):2008,Safety of Household and Similar Electrical Appliances - General Requirements,"Mandatory safety standard for domestic water heaters, irons, and room heaters",Electrical,ETD 32,2008,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 302 (Part 2/Sec 3):2007,Safety of Electric Iron,Thermostat cutoff and thermal safety for electric irons,Electrical,ETD 32,2007,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 302 (Part 2/Sec 21):2011,Safety of Stationary Storage Water Heaters (Geysers),Pressure safety and electrical isolation for water geysers,Electrical,ETD 32,2011,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2086:1993,Semi-Enclosed Electric Fuses (Rewireable Type),Rewireable carrier cutouts and porcelain fuses for distribution,Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13947 (Part 1):1993,Specification for Low-Voltage Switchgear and Controlgear - General Rules,"Terminal markings, dielectric properties, and temperature rise",Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13947 (Part 4/Sec 1):1993,Low Voltage Switchgear - Contactors and Motor Starters,DOL and Star-Delta contactors for industrial motor starters,Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 8623 (Part 1):1993,Specification for Low-Voltage Switchgear and Controlgear Assemblies,Factory-built assemblies for motor control centers (MCC) and power control centers (PCC),Electrical,ETD 07,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 732:2019,Code of Practice for Electrical Wiring Installations,Interior electrical wiring design for buildings and institutions,Electrical,ETD 20,2019,Active,,Scheme-IV / Code of Practice,False,
IS 374:2019,Electric Ceiling Type Fans and Regulators - Specification,"Energy efficiency, air delivery (CMM), and safety for ceiling fans in government offices",Electrical,ETD 33,2019,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2312:1967,Exhaust Fans - Specification,Industrial and domestic air ventilation exhaust fans,Electrical,ETD 33,1967,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 1293:2019,Plugs and Socket-Outlets of Rated Voltage up to and including 250 Volts and Rated Current up to and including 16 Amperes,Shuttered electrical wall sockets and safety plugs,Electrical,ETD 14,2019,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3854:1997,Switches for Domestic and Similar Fixed Electrical Installations,Modular piano switches and rocker switches for buildings,Electrical,ETD 14,1997,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13585 (Part 1):2012,Shunt Power Capacitors of the Non-Self-Healing Type for A.C. Systems having a Rated Voltage up to and including 1000 V,Power factor correction capacitor banks for industrial substations,Electrical,ETD 29,2012,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 13340:1993,Power Capacitors of Self-Healing Type for AC Power Systems up to 650 V,PFC capacitors for municipal pumping stations,Electrical,ETD 29,1993,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 398 (Part 2):1996,"Aluminium Conductors for Overhead Transmission Purposes - Aluminium Conductor, Galvanized Steel-Reinforced (ACSR)","ACSR conductors (Weasel, Rabbit, Dog, Panther) for overhead power lines",Electrical,ETD 37,1996,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 398 (Part 4):1994,Aluminium Alloy Conductors (AAAC) for Overhead Transmission Purposes,AAAC transmission lines for high corrosion and coastal power grids,Electrical,ETD 37,1994,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 2551:1982,Danger Notice Plates,Enamelled red danger warning plates for electrical substations and high-voltage poles,Electrical,ETD 20,1982,Active,,Scheme-I / ISI Mark,False,
IS 2713:1980,Tubular Steel Poles for Overhead Power Lines,Swaged steel poles for power distribution and street illumination,Electrical,ETD 37,1980,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 7987:1979,Guide for Selection of High Voltage AC Circuit Breakers,"Technical parameters for 11kV, 33kV, and 66kV vacuum and SF6 circuit breakers",Electrical,ETD 08,1979,Active,,Scheme-IV / Engineering Guide,False,
IS 13118:1991,High-Voltage Alternating-Current Circuit-Breakers,Vacuum circuit breakers (VCB) and SF6 circuit breakers for substation switchyards,Electrical,ETD 08,1991,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 9921 (Part 1 to 5):1985,Alternating Current Disconnectors (Isolators) and Earthing Switches for Voltages above 1000 V,Substation manual and motorized off-load isolators,Electrical,ETD 08,1985,Active,,Scheme-I / ISI Mark,True,Electrical Products (Quality Control) Order
IS 3072:1975,Code of Practice for Installation and Maintenance of Switchgear,Safety procedures for high and low voltage switchgear panels,Electrical,ETD 08,1975,Active,,Scheme-IV / Code of Practice,False,
IS 16627:2017,Secondary Lithium Cells and Batteries for Use in Industrial Applications,Industrial LiFePO4 battery banks for solar microgrids and telecom towers,Solar Energy,ETD 11,2017,Active,,Scheme-II / CRS,True,Solar Energy Products (Quality Control) Order
IS 16270:2015,Secondary Cells and Batteries for Solar Photovoltaic Application - General Requirements and Methods of Test,Cycle life and deep discharge testing for solar batteries,Solar Energy,ETD 11,2015,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 16560 (Part 2):2017,Solar Photovoltaic Water Pumping Systems - Test Procedure,Dynamic head and daily water output testing for solar pump sets,Solar Energy,MED 04,2017,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 16738:2018,Positive Temperature Coefficient (PTC) Solar Water Heaters,Evacuated tube collector (ETC) solar water heating systems,Solar Energy,MED 04,2018,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 16077:2013,Measurement Procedures for Materials Used in Photovoltaic Modules - Encapsulants (EVA Sheets),"Cross-linking, gel content, and optical transmission of solar EVA film",Solar Energy,ETD 28,2013,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 17293:2020,Solar Cable - Cross-linked Polyolefin Insulated and Sheathed Cables for Photovoltaic Systems,"UV resistant, flame retardant halogen-free 1.5 kV DC solar power cables",Solar Energy,ETD 09,2020,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 16626:2018,Balance of System Components for Photovoltaic Systems,"Junction boxes, MC4 connectors, and DC surge protective devices for solar arrays",Solar Energy,ETD 28,2018,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS/IEC 62446-1:2016,"Photovoltaic (PV) Systems - Requirements for Testing, Documentation and Maintenance","Commissioning documentation, grid verification, and IV curve tracing for solar plants",Solar Energy,ETD 28,2016,Active,,Scheme-IV / Inspection Standard,False,
IS 16103 (Part 1):2012,Led Modules for General Lighting - Safety Requirements,DC driven LED boards for solar street lamps and luminaires,Solar Energy,ETD 24,2012,Active,,Scheme-II / CRS,True,Solar Energy Products (Quality Control) Order
IS 16107 (Part 2/Sec 1):2016,Luminaires Performance - Particular Requirements - LED Luminaires,Luminous efficacy (lm/W) and color rendering index (CRI) for LED luminaires,Solar Energy,ETD 24,2016,Active,,Scheme-I / ISI Mark,True,Solar Energy Products (Quality Control) Order
IS 13252 (Part 1) / TAB:2010,Tablet Computers and Mobile Computing Devices - Safety,Tablets and handheld educational computers procured for government schools,Electronics & IT,LITD 07,2010,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 13252 (Part 1) / LED-DISP:2010,Interactive Flat Panels and Smart Digital Displays - Safety,Touchscreen interactive digital boards for smart classrooms and conference rooms,Electronics & IT,LITD 07,2010,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 13252 (Part 1) / POW-ADAPT:2010,Power Adaptors for IT Equipment and Mobile Phones,SMPS charging adaptors safety and flame retardance,Electronics & IT,LITD 07,2010,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 16047:2014,Secondary Cells and Batteries for Portable Applications - Performance,Capacity retention and discharge rate for laptop lithium batteries,Electronics & IT,ETD 11,2014,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 15885 (Part 1):2011,Lamp Controlgear - General and Safety Requirements,Creepage distances and fire resistance of electronic lighting ballasts,Electronics & IT,ETD 24,2011,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 1417:2016,"Gold and Gold Alloys, Silver and Silver Alloys Jewellery/Artefacts - Fineness and Marking","Hallmarking purity standards for precious metals (22K, 18K, 14K)",Electronics & IT,MTD 10,2016,Active,,Scheme-I / Hallmarking,True,Electronics & IT Products (Quality Control) Order
IS 17575 (Part 1):2021,Electronic Toll Collection - Dedicated Short Range Communication (DSRC) FASTag,RFID transponders and windshield tags for national highway toll collection,Electronics & IT,LITD 10,2021,Active,,Scheme-I / ISI Mark,True,Electronics & IT Products (Quality Control) Order
